"sampling_location","duplicate_sample","sample_date","sample_time","weather_condition_dry_or_wet","top_sample_temperature_c","bottom_sample_temperature_c","site_actual_depth_ft","top_sample_depth_ft","bottom_sample_depth_ft","top_salinity_psu","bottom_salinity_psu","top_conductivity_s_m","bottom_conductivity_s_m","ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l","ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l","percentage_o2_saturation_top_sample","percentage_o2_saturation_bottom_sample","light_trans_transparency_top_sample","light_trans_transparency_bottom_sample","top_sigma_t_kg_m3","bottom_sigma_t_kg_m3","top_fluorometer_mg_m3","bottom_fluorometer_mg_m3","ctd_conductivity_temperature_depth_profiler_ph_top_sample","ctd_conductivity_temperature_depth_profiler_ph_bottom_sample","top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s","top_sample_par_ue_s_m2","bottom_sample_par_ue_s_ue_s_m2","oxidation_reduction_potential_mv_top_sample","oxidation_reduction_potential_mv_bottom_sample","current_speed_knot","current_direction_current_direction","wind_speed_mph","wind_direction_wind_direction","sea_state","winkler_method_top_dissolved_oxygen_mg_l","winkler_method_bottom_dissolved_oxygen_mg_l","secchi_depth_ft","top_ph","bottom_ph","top_total_coliform_cells_100_ml","top_bottom_coliform_cells_100_ml","fecal_coliform_top_sample_less_than_or_greater_than_result","fecal_coliform_bottom_sample_less_than_or_greater_than_result","top_fecal_coliform_bacteria_cells_100ml","bottom_fecal_coliform_bacteria_cells_100ml","enterococcus_top_sample_less_than_or_greater_than_result","enterococcus_bottom_sample_less_than_or_greater_than_result","top_enterococci_bacteria_cells_100ml","bottom_enterococci_bacteria_cells_100ml","top_nitrate_nitrite_mg_l","bottom_nitrate_nitrite_mg_l","top_ammonium_mg_l","bottom_ammonium_mg_l","top_ortho_phosphorus_mg_l","bottom_ortho_phosphorus_mg_l","top_total_kjeldhal_nitrogen_mg_l","bottom_total_kjeldhal_nitrogen_mg_l","top_silica_mg_l","bottom_silica_mg_l","total_phosphorus_mg_l","bottom_total_phosphorus_mg_l","top_total_suspended_solid_mg_l","bottom_total_suspended_solid_mg_l","top_active_chlorophyll_a_g_l","bottom_active_chlorophyll_a_g_l","chlorophyll_top_sample_field_u_l_ysi","chlorophyll_bottom_sample_field_u_l_ysi","top_total_organic_carbon_mg_l","top_dissolved_organic_carbon_mg_l","bottom_dissolved_organic_carbon_mg_l","top_dissolved_organic_carbon_ysi_mg_l","bottom_dissolved_organic_carbon_ysi_mg_l","top_sample_depth_ysi_ft","bottom_depth_ysi_ft","top_sample_salinity_ysi_psu","bottom_sample_salinity_ysi_psu","top_sample_temperature_ysi_c","bottom_sample_temperature_ysi_c","top_bacteria_per_c_c_1909","bottom_bacteria_per_c_c_1909","top_beam_attenuation_coefficient","bottom_beam_attenuation_coefficient","top_five_day_biochemical_oxygen_demand_mg_l","bottom_five_day_biochemical_oxygen_demand_mg_l","top_pcb_plate_count_thous_ml","bottom_pcb_plate_count_thous_ml","top_coliform_log_no_ml","bottom_coliform_log_no_ml","oakwood_bod_top_sample_mg_l","oakwood_bod_bottom_sample_mg_l","oakwood_total_suspended_solid_top_sample_mg_l","oakwood_total_suspended_solid_bottom_sample_mg_l","top_turbidity_nephelometric_turbidity_units","bottom_turbidity_ysi_nephelometric_turbidity_units","sampling_comment","long","lat","type"
"E10",,"2006-09-18T00:00:00.000","11:00 AM","D","21.07","20.53","97","5","93","25.39","25.78","3.67","3.68","6.43","5.54","83.9","71.8",,,"17.18","17.61",,,,,,,,"1.16E+02","1.14E+02","1.3","NE","0","0","1","6.82","5.87","12","7.38","7.4",,,,,"1",,,,"1",,"0.184",,"0.201",,"0.086",,"0.77",,"1.88",,"0.122",,"0.75","3.25","4.85",,,,,"3.15",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.84317","-73.766","Permanent"
"E10",,"2006-09-25T00:00:00.000","9:58 AM","W","20.38","20.39","93","4","86","25.07","26.46","3.58","3.76","5.37","4.61","69.1","59.8",,,"17.11","18.16",,,,,,,,"1.84E+02","1.75E+02","0.7","E","10","N","2","5.77","5.01","10","7.08","7.28",,,,,"6",,,,"1",,"0.307",,"0.274",,"0.112",,"1.51",,"1.7",,"0.22",,"3.75","7.75","1.24384",,,,,"2.7",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.843","-73.76533","Permanent"
"E10",,"2006-09-05T00:00:00.000","10:49 AM","D","20.75","20.68","98","4","96","25.48","25.99","3.66","3.72","6.41","6.02","83.3","78.3",,,"17.33","17.73",,,,,,,,"1.29E+02","1.16E+02","0.5","W","4","E","1","7.4","7.43","7.5","7.49","7.47",,,,,"24",,,,"4",,"0.088",,"0.208",,"0.085",,"2.22",,"2.26",,"0.118",,"6","0.75","8.89",,,,,"2.59",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.8435","-73.76483","Permanent"
"E13",,"2006-10-10T00:00:00.000","10:42 AM","D","18.94","18.84","11","4","10","24.11","24.21","3.35","3.36","5.51","5.5","68.5","68.4",,,"16.74","16.83",,,,,,,,"6.07E+01","6.56E+01","0.7","E","6","NE","1","5.62","5.79","6","7.39","7.38",,,,,"10",,,,"4",,"0.526",,"0.49",,"0.158",,"1.16",,"1.14",,"0.194",,"7.5","4.7","1.96",,,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.80583","-73.84133","Permanent"
"E14",,"2006-10-10T00:00:00.000","12:15 PM","D","19.07",,,"4",,"23.85",,"3.33",,"5.59",,"69.6",,,,"16.5",,,,,,,,,"6.29E+01",,"0.7","SW","6","NE","1","5.61","*","5","7.32","*",,,,,"11",,,,"3",,"0.539",,"0.534",,"0.161",,"1.03",,"1.15",,"0.219",,"5.5","4.3","2",,,,,"2.82",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.80533","-73.86717","Permanent"
"E14",,"2006-10-23T00:00:00.000","1:00 PM","D","15.54","15.91","16","4","11","22.44","22.83","2.91","2.98","6.42","6.31","74","73.4",,,"16.21","16.43",,,,,,,,"5.04E+01","5.29E+01","0.2","SE","15","NW","1","6.88","6.69","4","7.36","7.41",,,,,"64",,,,"6",,"0.444",,"0.597",,,,"1.74",,"1.66",,"0.184",,"8","6.5","1.57",,,,,"2.95",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.81033","-73.869","Permanent"
"E14",,"2006-07-31T00:00:00.000","11:50 AM","D","21.8",,"9","4",,"24.63",,"3.63",,"2.85",,"37.6",,,,"16.41",,,,,,,,,"4.62E+01",,"0","S","4","NE","1","4.96","*","6","7.24",,,,,,"801",,,,"14",,"0.144",,"0.213",,"0.097",,"1.23",,"1.7",,"0.198",,"12.75",,"30.24",,,,,"7.78",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.81117","-73.86933","Permanent"
"E14",,"2006-08-21T00:00:00.000","1:21 PM","D","23.5","22.44","12","4","12","24.6","25.12","3.76","3.75","5.21","2.67","70.8","35.7",,,"15.93","16.6",,,,,,,,"7.24E+01","7.48E+01","0.5","S","12","N","1","5.65","5.83","6","7.3","7.29",,,,,"284",,,,"10",,"0.204",,"0.36",,"0.147",,"1.11",,"1.8",,"0.204",,"9.75","13.75","13.25",,,,,"3.23",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.81117","-73.86917","Permanent"
"E14",,"2006-08-28T00:00:00.000","11:51 AM","W","22.37","22.28","11","4","12","23.55","24.95","3.53","3.71","3.4","2.88","45","38.3",,,"15.45","16.53",,,,,,,,"6.56E+01","6.84E+01","0","NW","6","N","1","3.81","3.71","6","7.24","7.27",,,,,"1,450",,,,"650",,"0.264",,"0.456",,"0.168",,"0.77",,"2.08",,"0.214",,"1.5","1.5","3.36",,,,,"2.98",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.81083","-73.86917","Permanent"
"E14",,"2006-08-08T00:00:00.000","12:45 PM","D","23.78","22.63","15","4","12","23.12","24.22","3.57","3.64","7.28","4.58","98.6","61.2",,,"14.74","15.88",,,,,,,,"4.87E+01","5.66E+01","1.7","SE","11","N","1","7.17","6.56","7","7.5","7.54",,,,,"1",,,,"3",,"0.183",,"0.244",,"0.105",,"0.82",,"1.42",,"0.188",,"6.25","21","25.25",,,,,"3.49",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.81067","-73.86917","Permanent"
"E14",,"2006-09-11T00:00:00.000","12:18 PM","D","21.72","21.63","14","4","11","24.21","24.34","3.57","3.58","6.14","6.09","80.6","79.9",,,"16.12","16.24",,,,,,,,"7.55E+01","9.37E+01","0.6","NW","10","E","1","6.88","6.16","3","7.5","7.53",,,,,"7",,,,"1",,"0.361",,"0.402",,"0.124",,"2.13",,"2.26",,"0.202",,"7","4.75","6.76",,,,,"4.2",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.81117","-73.8695","Permanent"
"E14",,"2006-09-18T00:00:00.000","12:39 PM","D","21.34","21.09","12","5","11","23.65","24.43","3.47","3.55","4.39","4.21","57.1","54.7",,,"15.79","16.45",,,,,,,,"6.05E+01","5.70E+01","0.8","E","2","SW","1","4.73","4.44","6","7.18","7.18",,,,,"6",,,,"13",,"0.407",,"0.581",,"0.14",,"0.65",,"2.23",,"0.19",,"14.5","14.5","0.84",,,,,"3.33",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.81117","-73.86933","Permanent"
"E14",,"2006-09-25T00:00:00.000","11:42 AM","W","20.5","20.53","14","4","11","23.73","24.51","3.42","3.52","4.89","5.15","62.6","66.2",,,"16.06","16.65",,,,,,,,"6.89E+01","7.40E+01","0","N","12","N","1","5.32","5.38","2","7.23","7.23",,,,,"115",,,,"2",,"0.402",,"0.432",,"0.127",,"1.12",,"2.08",,"0.154",,"24.5","16","2.64992",,,,,"2.9",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.81083","-73.869","Permanent"
"E14",,"2006-09-05T00:00:00.000","12:24 PM","D","21.05","20.93","14","5","12","23.68","24.63","3.45","3.57","4.71","3.96","61","51.3",,,"15.89","16.64",,,,,,,,"2.83E+01","2.71E+01","0","S","CALM","CALM","1","5.39","5.45","6.5","7.28","7.28",,,,,"144",,,,"80",,"0.333",,"0.529",,"0.155",,"1.7",,"2.55",,"0.202",,"4.75","2.25","2.42",,,,,"2.7",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.811","-73.86933","Permanent"
"E15",,"2006-10-10T00:00:00.000","11:25 AM","D","18.77","18.74","15","3","16","23.98","23.99","3.32","3.32","5.22","5.22","64.7","64.7",,,"16.67","16.69",,,,,,,,"5.19E+01","5.75E+01","1.2","S","6","NE","1","5.53","5.39","5","7.33","7.34",,,,,"73",,,,"11",,"0.488",,"0.572",,"0.17",,"1.32",,"1.34",,"0.222",,"5.5","7.6","6.78",,,,,"3.02",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.76283","-73.84917","Permanent"
"E15",,"2006-10-23T00:00:00.000","12:08 PM","D","15.45","15.65","18","5","20","23.19","23.27","2.99","3.02","6.12","6.06","70.7","70.3",,,"16.8","16.82",,,,,,,,"6.25E+01","6.56E+01","1","S","24","NW","1","6.55","6.49","4.5","7.45","7.46",,,,,"36",,,,"8",,"0.48",,"0.72",,,,"1.76",,"1.4",,"0.226",,"12.25","11.75","1.06",,,,,"2.54",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.76317","-73.84933","Permanent"
"E15",,"2006-07-31T00:00:00.000","11:10 AM","D","24.53","22.69","12","5","12","22.71","23.61","3.57","3.56","7.15","2.02","97.9","26.8",,,"14.22","15.41",,,,,,,,"5.05E+01","5.28E+01","0","N","3","SW","1","5.93","6.85","4","7.33","7.41",,,,,"224",,,,"11",,"0.22",,"0.31",,"0.12",,"1.32",,"1.79",,"0.224",,"13.5","29","31.84",,,,,"3.83",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.76383","-73.84933","Permanent"
"E15",,"2006-08-21T00:00:00.000","12:35 PM","D","24.02","23.9","16","5","14","24.19","24.23","3.74","3.74","9.42","8.75","128.9","119.6",,,"15.48","15.5",,,,,,,,"6.94E+01","7.61E+01","0.6","S","8","N","1","10.84","10.4","3","7.85","7.84",,,,,"72",,,,"1",,"0.197",,"0.05",,"0.084",,"1.25",,"0.62",,"0.233",,"19","14.5","71.48",,,,,"3.57",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.76283","-73.8495","Permanent"
"E15",,"2006-08-28T00:00:00.000","11:11 AM","W","22.39","22.45","12","5","12","23.29","24.19","3.49","3.62","2.2","2.03","29.1","26.9",,,"15.25","15.91",,,,,,,,"7.41E+01","3.65E+01","0","S","5","E","1","2.53","2.41","5","7.1","7.09",,,,,"2,001",,,,"2,001",,"0.269",,"0.642",,"0.195",,"1.19",,"2.18",,"0.269",,"1","3.75","2.99",,,,,"3.24",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.76283","-73.8495","Permanent"
"E15",,"2006-08-08T00:00:00.000","12:08 PM","D","23.58","23.3","18","4","16","24.06","24.12","3.69","3.67","5.59","5.02","75.8","67.8",,,"15.5","15.62",,,,,,,,"8.85E+01","9.29E+01","1.1","S","22","N","1","6.86","5.58","4","7.36","7.37",,,,,"7",,,,"2",,"0.177",,"0.328",,"0.112",,"0.82",,"1.33",,"0.204",,"25.25","3","28.56",,,,,"3.97",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.7625","-73.84933","Permanent"
"E15",,"2006-09-11T00:00:00.000","11:30 AM","D","21.19","21.2","15","4","13","23.81","23.81","3.48","3.48","7.33","6.92","95","89.7",,,"15.95","15.95",,,,,,,,"9.28E+01","9.84E+01","1","SSW","16","NE","1","7.08","7.08","3","7.63","7.69",,,,,"60",,,,"6",,"0.372",,"0.332",,"0.116",,"1.56",,"1.79",,"0.23",,"4.5","6","33.04",,,,,"6.52",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.76267","-73.84967","Permanent"
"E15",,"2006-09-18T00:00:00.000","12:04 PM","D","22.08","21.37","17","4","15","22.95","23.5","3.43","3.45","7.26","3.92","95.2","50.9",,,"15.07","15.67",,,,,,,,"4.78E+01","5.12E+01","0","NE","2","NW","1","4.48","4.64","4","7.23","7.27",,,,,"4",,,,"15",,"0.434",,"0.664",,"0.16",,"0.91",,"2.22",,"0.222",,"4.5","6.25","1.73",,,,,"3.56",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.76317","-73.84917","Permanent"
"E15",,"2006-09-25T00:00:00.000","11:06 AM","W","20.26","20.24","16","4","13","23.55","23.56","3.38","3.37","5.61","5.49","71.4","69.8",,,"15.99","16",,,,,,,,"6.86E+01","7.64E+01","1","SE","14","N","1","5.78","5.81","6","7.24","7.3",,,,,"40",,,,"2",,"0.534",,"0.62",,"0.173",,"1.65",,"1.99",,"0.228",,"2","2.75","2.19648",,,,,"3.03",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.76317","-73.84917","Permanent"
"E15",,"2006-09-05T00:00:00.000","11:50 AM","D","21.15","21.07","17","5","14","23.21","23.76","3.39","3.46","6.25","4.79","80.7","61.9",,,"15.5","15.95",,,,,,,,"5.74E+01","6.37E+01","0.6","SW","LT+AIR","LT+AIR","1","6.31","6.77","4","7.36","7.39",,,,,"408",,,,"14",,"0.348",,"0.565",,"0.16",,"2.18",,"2.38",,"0.241",,"1.5","1","21.25",,,,,"3.15",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.763","-73.8495","Permanent"
"E2",,"2006-10-23T00:00:00.000","2:02 PM","D","16.57","16.6","50","5","45","20.34","20.63","2.73","2.76","5.8","5.62","67.4","65.4",,,"14.39","14.6",,,,,,,,"5.44E+01","6.22E+01","1.5","S","16","N","1","5.94","6.06","5","6.72","7.35",,,,,"30",,,,"2",,"0.595",,"0.516",,,,"0.98",,"1.29",,"0.183",,"5.75","6.25","1.17",,,,,"2.74",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.73567","-73.97083","Permanent"
"E2",,"2006-07-31T00:00:00.000","12:50 PM","D","23.43","23","55","4","48","20.97","22.65","3.25","3.45","5.16","4.74","68.6","63.1",,,"13.21","14.6",,,,,,,,"8.01E+01","8.48E+01","2.1","N","1","SW","1","5.46","5.63","5.5","7.43","7.45",,,,,"14",,,,"2",,"0.289",,"0.298",,"0.096",,"0.87",,"1.41",,"0.129",,"5.25","9.75","3.16",,,,,"3.04",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.73633","-73.97067","Permanent"
"E2",,"2006-08-21T00:00:00.000","2:05 PM","D","23.79","23.74","48","5","43","24.23","24.29","3.73","3.73","3.2","3.61","43.6","49.2",,,"15.57","15.6",,,,,,,,"8.70E+01","9.28E+01","2","W","4","SW","1","4.16","4.26","6","7.18","7.26",,,,,"3",,,,"1",,"0.316",,"0.469",,"0.175",,"1.52",,"1.73",,"0.217",,"19.5","14.25","3.2",,,,,"3.23",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.7355","-73.97083","Permanent"
"E2",,"2006-08-28T00:00:00.000","12:48 PM","W","22.81","22.67","49","4","42","23.63","23.76","3.57","3.58","4.27","4.45","57","59.3",,,"15.38","15.52",,,,,,,,"8.17E+01","8.80E+01","1.1","N","12","E","1","4.96","5.31","7","7.37","7.41",,,,,"204",,,,"228",,"0.331",,"0.389",,"0.129",,"0.77",,"1.17",,"0.166",,"2","2.75","1.1",,,,,"2.96",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.73567","-73.97083","Permanent"
"E2",,"2006-08-08T00:00:00.000","1:44 PM","D","23.19","23.19","47","5","37","23.3","23.38","3.55","3.56","4.05","3.99","54.3","53.6",,,"15.04","15.09",,,,,,,,"4.28E+01","5.95E+01","2.5","S","9","N","1","4.75","2.88","5","7.25","7.27",,,,,"36",,,,"2",,"0.267",,"0.418",,"0.13",,"0.88",,"1.39",,"0.185",,"4","1.75","5.84",,,,,"3.3",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.73567","-73.971","Permanent"
"E2",,"2006-09-11T00:00:00.000","1:11 PM","D","21.65","21.55","48","5","42","23.31","23.53","3.44","3.47","4.62","4.74","60.3","61.8",,,"15.46","15.65",,,,,,,,"8.81E+01","9.65E+01","1.4","SW","17","E","3","4.63","4.76","5.5","7.45","7.48",,,,,"7",,,,"1",,"0.456",,"0.421",,"0.124",,"1.24",,"1.76",,"0.168",,"3","6.5","1.72",,,,,"4.22",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.73533","-73.97083","Permanent"
"E2",,"2006-09-18T00:00:00.000","4:14 PM","D","21.67","21.62","47","4","46","22.14","22.3","3.29","3.31","4.35","4.15","56.3","53.7",,,"14.57","14.7",,,,,,,,"4.78E+01","5.98E+01","2.1","N","11","SW","1","4.52","4.43","7","7.17","7.19",,,,,"8",,,,"2",,"0.628",,"0.553",,"0.159",,"0.78",,"1.96",,"0.198",,"6","9.5","1",,,,,"3.42",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.73667","-73.97067","Permanent"
